date,time,channel_id,habitat_type,visibility_ft,depth_ft,distance_to_bank_ft,distance_to_cover_ft,cover_type,overhead,unembedded_cobble,distance to cobble_ft,velocity_fps,substrate,fish_type,fish_size,fish_number,comments
2020-03-02,10:53:31am,Anderson River Park,Riffle,10,0.7,2.2,0,Fine Woody Debris,No,Yes,0,0.3,Cobble,Fall Run Chinook,51-60mm,15,NA
2020-03-02,10:55:04am,Anderson River Park,Riffle,10,0.7,2.2,0,Fine Woody Debris,No,Yes,0,0.3,Cobble,Fall Run Chinook,41-50mm,10,NA
2020-03-02,10:57:22am,Anderson River Park,Riffle,10,0.7,2.1,0,Cobble,No,Yes,0,0.8,Cobble,Fall Run Chinook,51-60mm,1,NA
2020-04-08,10:17:45am,Anderson River Park,Pool,8,0.5,5,1.8,"Branches, Small Woody Debris",No,Yes,2,0.8,Gravel,Fall Run Chinook,41-50mm,4,NA
2020-04-08,11:00:28am,Anderson River Park,Pool,8,0.5,3.5,2,Fine Woody Debris,Yes,Yes,1.8,0,Gravel,Rainbow Trout/Steelhead,<41mm,3,NA
2020-04-08,11:03:03am,Anderson River Park,Pool,8,0.5,3.5,2,Fine Woody Debris,Yes,Yes,1.8,0,Gravel,Rainbow Trout/Steelhead,41-50mm,3,NA
2020-04-08,11:04:33am,Anderson River Park,Pool,8,0.3,5,0,"Branches, Small Woody Debris",No,Yes,0.6,0,Mud/Organic,Rainbow Trout/Steelhead,41-50mm,1,NA
2020-04-08,11:06:00am,Anderson River Park,Pool,8,1.3,10.1,0,Fine Woody Debris,No,Yes,1,0,Sand,Rainbow Trout/Steelhead,51-60mm,1,NA
2020-04-08,11:09:07am,Anderson River Park,Pool,8,1.3,10.1,0,Fine Woody Debris,No,Yes,1,0,Sand,Rainbow Trout/Steelhead,41-50mm,3,NA
2020-04-08,11:11:00am,Anderson River Park,Pool,8,0.8,9.4,0,Fine Woody Debris,No,Yes,1.5,0,Gravel,Rainbow Trout/Steelhead,41-50mm,2,NA
2020-04-08,11:14:40am,Anderson River Park,Flatwater,8,0.1,0.4,0,Cobble,No,Yes,0,0,Sand,Rainbow Trout/Steelhead,<41mm,1,NA
2020-04-08,11:21:16am,Anderson River Park,Riffle,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No fish found
2018-03-26,NA,Bourbon Control,Pool,10,1.2,1.7999999523162842,0,Fine Woody Debris,NA,Yes,3.4,0.2,Gravel,Winter Run Chinook,61-80mm,1,NA
2018-03-26,NA,Bourbon Control,Riffle,10,0.8,2,0,"Branches, Small Woody Debris",NA,Yes,0,0.79,Cobble,Fall Run Chinook,51-60mm,1,NA
2018-03-26,NA,Bourbon Control,Riffle,10,1,10.199999809265137,5.900000095367432,Fine Woody Debris,NA,Yes,3.5,0.94,Gravel,Fall Run Chinook,41-50mm,8,NA
2018-03-26,NA,Bourbon Control,Riffle,10,1,10.199999809265137,5.900000095367432,Fine Woody Debris,NA,Yes,3.5,0.94,Gravel,Fall Run Chinook,51-60mm,8,NA
2018-03-26,NA,Bourbon Control,Pool,10,2,8.600000381469727,4.900000095367432,"Branches, Small Woody Debris",NA,Yes,0,1.49,Cobble,Rainbow Trout/Steelhead,121-140mm,2,NA
2018-03-26,NA,Bourbon Control,Pool,10,2,8.600000381469727,4.800000190734863,"Branches, Small Woody Debris",NA,Yes,0,1.49,Cobble,Fall Run Chinook,51-60mm,4,NA
2018-03-26,NA,Bourbon Control,Pool,10,2,8.600000381469727,4.900000095367432,"Branches, Small Woody Debris",NA,Yes,0,1.49,Cobble,Rainbow Trout/Steelhead,81-100mm,2,NA
2018-03-26,NA,Bourbon Control,Riffle,10,0.9,9.800000190734863,0,Cobble,NA,Yes,0,1.66,Cobble,Winter Run Chinook,61-80mm,2,NA
2018-03-28,NA,Bourbon Control,Flatwater,10,0.5,1.399999976158142,3.200000047683716,"Branches, Small Woody Debris",NA,Yes,0,0.4,Cobble,Fall Run Chinook,<41mm,2,NA
2018-03-28,NA,Bourbon Control,Flatwater,10,1.3,11.300000190734863,1,"Branches, Small Woody Debris",NA,No,0,0.42,Sand,Fall Run Chinook,<41mm,1,NA
2018-03-28,NA,Bourbon Control,Flatwater,10,1.1,3.700000047683716,1.2999999523162842,"Branches, Small Woody Debris",NA,No,0,0.42,Sand,Fall Run Chinook,<41mm,1,NA
2018-03-28,NA,Bourbon Control,Flatwater,10,1.1,11.100000381469727,4.5,"Branches, Small Woody Debris",NA,Yes,3.5,1.29,Gravel,Fall Run Chinook,51-60mm,1,NA
2018-04-26,NA,Bourbon Control,Pool,10,1.66,8.75,0,"Branches, Small Woody Debris",NA,Yes,5.33,0,Mud/Organic,Rainbow Trout/Steelhead,41-50mm,3,NA
2018-04-26,NA,Bourbon Control,Riffle,10,0.82,6.25,0,Fine Woody Debris,NA,Yes,3.25,0.2,Mud/Organic,Rainbow Trout/Steelhead,51-60mm,4,NA
2018-04-26,NA,Bourbon Control,Pool,10,1.16,3.3299999237060547,0,Aquatic Veg,NA,No,0,0.47,Mud/Organic,Rainbow Trout/Steelhead,41-50mm,1,NA
2018-04-26,NA,Bourbon Control,Pool,10,0.92,4.5,0,"Branches, Small Woody Debris",NA,Yes,2,0.58,Gravel,Rainbow Trout/Steelhead,<41mm,3,NA
2018-04-26,NA,Bourbon Control,Pool,10,0.92,4.5,0,"Branches, Small Woody Debris",NA,Yes,2,0.58,Gravel,Rainbow Trout/Steelhead,41-50mm,1,NA
2018-04-26,NA,Bourbon Control,Flatwater,10,1,21.5,0,"Branches, Small Woody Debris",NA,No,0,0.6,Gravel,Rainbow Trout/Steelhead,61-80mm,4,NA
2018-04-26,NA,Bourbon Control,Riffle,10,1.08,1.659999966621399,0,"Branches, Small Woody Debris",NA,Yes,1.25,0.66,Gravel,Rainbow Trout/Steelhead,<41mm,1,NA
2018-04-26,NA,Bourbon Control,Riffle,10,1.08,1.659999966621399,0,"Branches, Small Woody Debris",NA,Yes,1.25,0.66,Gravel,Rainbow Trout/Steelhead,51-60mm,5,NA
2018-04-26,NA,Bourbon Control,Flatwater,10,1.82,11.699999809265137,0,"Branches, Small Woody Debris",NA,No,0,0.7,Sand,Winter Run Chinook,101-120mm,4,NA
2018-04-26,NA,Bourbon Control,Flatwater,10,1.82,11.699999809265137,0,"Branches, Small Woody Debris",NA,No,0,0.7,Sand,Fall Run Chinook,61-80mm,4,NA
2018-04-26,NA,Bourbon Control,Flatwater,10,1.82,11.699999809265137,0,"Branches, Small Woody Debris",NA,No,0,0.7,Sand,Rainbow Trout/Steelhead,61-80mm,6,NA
2018-04-26,NA,Bourbon Control,Flatwater,10,1.5,22.5,0,Large Woody Debris,NA,No,0,1.1,Gravel,Rainbow Trout/Steelhead,61-80mm,1,NA
2018-04-26,NA,Bourbon Control,Riffle,10,0.66,4.659999847412109,0,Fine Woody Debris,NA,Yes,1,1.5,Gravel,Rainbow Trout/Steelhead,<41mm,2,NA
2018-04-26,NA,Bourbon Control,Riffle,10,0.82,1.5,0,Cobble,NA,Yes,0,1.7,Cobble,Fall Run Chinook,<41mm,3,NA
2018-04-26,NA,Bourbon Control,Riffle,10,0.82,1.5,0,Cobble,NA,Yes,0,1.7,Cobble,Fall Run Chinook,51-60mm,1,NA
2018-05-24,NA,Bourbon Control,Pool,12,1.42,4.5,1.0800000429153442,Aquatic Veg,NA,No,0,0,Mud/Organic,Late Fall Run Run Chinook,41-50mm,1,NA
2018-05-24,NA,Bourbon Control,Riffle,12,0.58,2,0,"Branches, Small Woody Debris",NA,No,0,0,Mud/Organic,Late Fall Run Run Chinook,41-50mm,1,NA
2018-05-24,NA,Bourbon Control,Pool,12,1.2,2.4200000762939453,0,Large Woody Debris,NA,No,0,0.2,Sand,Fall Run Chinook,61-80mm,4,NA
2018-05-24,NA,Bourbon Control,Pool,12,1.2,2.4200000762939453,0,Large Woody Debris,NA,No,0,0.2,Sand,Fall Run Chinook,81-100mm,4,NA
2018-05-24,NA,Bourbon Control,Pool,12,1.2,2.4200000762939453,0,Large Woody Debris,NA,No,0,0.2,Sand,Rainbow Trout/Steelhead,81-100mm,4,NA
2018-05-24,NA,Bourbon Control,Riffle,12,0.92,2.0799999237060547,1.5,"Branches, Small Woody Debris",NA,Yes,0,0.21,Cobble,Fall Run Chinook,61-80mm,2,NA
2018-05-24,NA,Bourbon Control,Riffle,12,0.66,2,0,Fine Woody Debris,NA,No,0,0.24,Sand,Rainbow Trout/Steelhead,81-100mm,3,NA
2018-05-24,NA,Bourbon Control,Riffle,12,1,4.159999847412109,0,Fine Woody Debris,NA,Yes,0,0.6,Cobble,Fall Run Chinook,61-80mm,3,NA
2018-05-24,NA,Bourbon Control,Riffle,12,1,4.159999847412109,0,Fine Woody Debris,NA,Yes,0,0.6,Cobble,Fall Run Chinook,81-100mm,3,NA
2018-05-24,NA,Bourbon Control,Riffle,12,1.08,4.329999923706055,0,"Branches, Small Woody Debris",NA,No,0,0.65,Sand,Fall Run Chinook,81-100mm,22,NA
2018-05-24,NA,Bourbon Control,Pool,12,3.04,9.319999694824219,0,Large Woody Debris,NA,Yes,0,0.68,Cobble,Fall Run Chinook,101-120mm,15,NA
2018-05-24,NA,Bourbon Control,Pool,12,3.04,9.319999694824219,0,Large Woody Debris,NA,Yes,0,0.68,Cobble,Rainbow Trout/Steelhead,101-120mm,3,NA
2018-05-24,NA,Bourbon Control,Pool,12,3.04,9.319999694824219,0,Large Woody Debris,NA,Yes,0,0.68,Cobble,Rainbow Trout/Steelhead,61-80mm,3,NA
2018-05-24,NA,Bourbon Control,Pool,12,3.04,9.319999694824219,0,Large Woody Debris,NA,Yes,0,0.68,Cobble,Fall Run Chinook,81-100mm,10,NA
2018-05-24,NA,Bourbon Control,Riffle,12,0.8,2.25,0,Undercut Bank,NA,Yes,7,0.68,Sand,Rainbow Trout/Steelhead,81-100mm,6,NA
2018-05-24,NA,Bourbon Control,Flatwater,12,2.12,5.5,0,"Branches, Small Woody Debris",NA,Yes,3.5,0.72,Sand,Rainbow Trout/Steelhead,81-100mm,2,NA
2018-05-24,NA,Bourbon Control,Riffle,12,1.33,3.25,0,Large Woody Debris,NA,Yes,0,0.79,Cobble,Fall Run Chinook,81-100mm,6,NA
2018-05-24,NA,Bourbon Control,Riffle,12,0.92,3.25,0,Fine Woody Debris,NA,No,0,1.12,Sand,Fall Run Chinook,81-100mm,1,NA
2018-05-24,NA,Bourbon Control,Riffle,12,1.33,4.159999847412109,0,Cobble,NA,Yes,0,1.33,Cobble,Fall Run Chinook,81-100mm,6,NA
2018-05-24,NA,Bourbon Control,Pool,12,1.24,1.5,0,"Branches, Small Woody Debris",NA,No,0,1.45,Sand,Rainbow Trout/Steelhead,81-100mm,2,NA
2018-05-24,NA,Bourbon Control,Flatwater,12,308,12.420000076293945,0,Fine Woody Debris,NA,Yes,9,1.9,Sand,Rainbow Trout/Steelhead,101-120mm,2,NA
2018-05-24,NA,Bourbon Control,Flatwater,12,3.08,12.420000076293945,0,Fine Woody Debris,NA,Yes,9,1.9,Sand,Fall Run Chinook,81-100mm,1,NA
2018-05-24,NA,Bourbon Control,Flatwater,12,3.08,12.420000076293945,0,Fine Woody Debris,NA,Yes,9,1.9,Sand,Rainbow Trout/Steelhead,81-100mm,3,NA
2018-05-24,NA,Bourbon Control,Riffle,12,2,4.579999923706055,1.5,"Branches, Small Woody Debris",NA,Yes,0,2.99,Cobble,Fall Run Chinook,81-100mm,1,NA
2018-05-24,NA,Bourbon Control,Pool,12,3.2,11.319999694824219,3,Large Woody Debris,NA,Yes,0,4.59,Cobble,Rainbow Trout/Steelhead,>200mm,1,NA
2018-08-29,10:50:08am,Bourbon Control,Pool,10,0.88,1,42,Large Woody Debris,NA,No,0,0,Gravel,Winter Run Chinook,41-50mm,2,NA
2018-08-29,11:21:46am,Bourbon Control,Flatwater,10,1.25,3.25,0,"Branches, Small Woody Debris",NA,Yes,0,0.1,Cobble,Rainbow Trout/Steelhead,51-60mm,1,NA
2018-08-29,11:02:45am,Bourbon Control,Pool,10,1.5,5.75,0,Fine Woody Debris,NA,Yes,2.92,0.17,Sand,Rainbow Trout/Steelhead,41-50mm,1,NA
2018-08-29,10:53:03am,Bourbon Control,Pool,10,1.5,5.75,0,Fine Woody Debris,NA,Yes,2.92,0.17,Sand,Rainbow Trout/Steelhead,51-60mm,6,NA
2018-08-29,11:49:33am,Bourbon Control,Pool,10,2.16,4,0.5,Aquatic Veg,NA,Yes,0,0.2,Cobble,Rainbow Trout/Steelhead,41-50mm,1,NA
2018-08-29,11:33:40am,Bourbon Control,Riffle,10,1.42,3.5,0,Fine Woody Debris,NA,Yes,0,0.3,Cobble,Rainbow Trout/Steelhead,41-50mm,2,NA
2018-08-29,11:28:23am,Bourbon Control,Riffle,10,1.42,4.75,0.6600000262260437,Fine Woody Debris,NA,Yes,0,0.3,Cobble,Rainbow Trout/Steelhead,51-60mm,2,NA
2018-08-29,11:37:11am,Bourbon Control,Riffle,10,1.42,3.5,0,Fine Woody Debris,NA,Yes,0,0.3,Cobble,Rainbow Trout/Steelhead,51-60mm,1,NA
2018-11-16,11:49:01am,Bourbon Control,Pool,10,2.66,11,0.5,Aquatic Veg,NA,No,0,0,Sand,Rainbow Trout/Steelhead,141-160mm,1,NA
2018-11-16,11:36:11am,Bourbon Control,Pool,10,2.75,10,1,"Branches, Small Woody Debris",NA,Yes,2.5,0.1,Gravel,Winter Run Chinook,41-50mm,15,NA
2018-11-16,11:41:29am,Bourbon Control,Pool,10,2.75,10,1,"Branches, Small Woody Debris",NA,Yes,2.5,0.1,Gravel,Winter Run Chinook,61-80mm,30,NA
2018-11-16,11:44:51am,Bourbon Control,Pool,10,1.58,9.65999984741211,0.8399999737739563,"Branches, Small Woody Debris",NA,Yes,0,0.2,Cobble,Winter Run Chinook,61-80mm,1,NA
2018-11-16,11:27:03am,Bourbon Control,Riffle,10,0.58,1.75,0,Fine Woody Debris,NA,Yes,3.33,0.5,Sand,Winter Run Chinook,41-50mm,1,NA
2018-11-16,11:18:34am,Bourbon Control,Riffle,10,1.25,3,0.75,"Branches, Small Woody Debris",NA,Yes,0,0.5,Cobble,Winter Run Chinook,51-60mm,3,NA
2018-11-16,12:35:06pm,Bourbon Control,Riffle,10,1,11,1,"Branches, Small Woody Debris",NA,Yes,0.3,0.5,Gravel,Winter Run Chinook,51-60mm,1,NA
2018-11-16,12:24:54pm,Bourbon Control,Riffle,10,1,4.079999923706055,0.07999999821186066,"Branches, Small Woody Debris",NA,Yes,0,0.6,Cobble,Winter Run Chinook,61-80mm,3,NA
2018-11-16,11:31:23am,Bourbon Control,Riffle,10,0.92,5.5,0.25,"Branches, Small Woody Debris",NA,Yes,0,0.7,Cobble,Winter Run Chinook,61-80mm,1,NA
2018-11-16,11:03:05am,Bourbon Control,Riffle,10,2.16,14,0.20000000298023224,"Branches, Small Woody Debris",NA,No,0,0.9,Gravel,Winter Run Chinook,61-80mm,2,NA
2018-11-16,11:21:55am,Bourbon Control,Riffle,10,1.16,5.659999847412109,0,Overhead cover,NA,Yes,0,0.9,Cobble,Rainbow Trout/Steelhead,81-100mm,1,NA
2018-11-16,10:56:58am,Bourbon Control,Flatwater,10,2.76,9,0,Overhead cover,NA,Yes,1.56,1.1,Gravel,Winter Run Chinook,51-60mm,1,NA
2018-11-16,12:30:14pm,Bourbon Control,Riffle,10,0.84,6.5,2.4000000953674316,"Branches, Small Woody Debris",NA,Yes,1.16,1.3,Gravel,Rainbow Trout/Steelhead,61-80mm,1,NA
2019-07-25,04:06:11am,Bourbon Control,Riffle,10,1.45,1.8,0,"Branches, Small Woody Debris",Yes,Yes,1.7,0.1,Sand,Rainbow Trout/Steelhead,51-60mm,2,overhead
2019-07-25,04:13:55am,Bourbon Control,Pool,10,0.9,4.6,1,Fine Woody Debris,No,Yes,3,0,Gravel,Rainbow Trout/Steelhead,51-60mm,2,no overhead
2019-07-25,04:17:13am,Bourbon Control,Pool,10,0.8,1.5,0,Fine Woody Debris,Yes,Yes,1.5,0,Gravel,Rainbow Trout/Steelhead,41-50mm,35,overhead
2019-07-25,04:20:33am,Bourbon Control,Riffle,10,0.8,1.5,0,Fine Woody Debris,Yes,Yes,1.5,0,Gravel,Rainbow Trout/Steelhead,<41mm,10,overhead
2019-07-25,04:24:43am,Bourbon Control,Riffle,10,0.9,3.3,0,Aquatic Veg,Yes,No,0,0.1,Mud/Organic,Rainbow Trout/Steelhead,<41mm,5,overhead
2019-07-25,04:30:53am,Bourbon Control,Riffle,10,2.6,10.9,0,Aquatic Veg,Yes,Yes,2.6,1,Gravel,Rainbow Trout/Steelhead,101-120mm,2,overhead
2019-07-25,04:56:51am,Bourbon Control,Pool,10,0.6,2.4,0.1,"Branches, Small Woody Debris",Yes,Yes,9,0.1,Mud/Organic,Rainbow Trout/Steelhead,<41mm,10,overhead
2019-07-25,05:01:39am,Bourbon Control,Pool,10,0.6,2.4,0.1,Fine Woody Debris,Yes,Yes,9,0.1,Mud/Organic,Rainbow Trout/Steelhead,41-50mm,6,overhead
2019-07-25,05:03:23am,Bourbon Control,Pool,10,0.6,2.4,0.1,Fine Woody Debris,Yes,Yes,9,0.1,Mud/Organic,Rainbow Trout/Steelhead,51-60mm,1,overhead
2019-07-25,05:05:08am,Bourbon Control,Pool,10,0.5,1.3,0.1,Fine Woody Debris,Yes,Yes,9.9,0.1,Sand,Rainbow Trout/Steelhead,<41mm,2,overhead
2019-07-25,05:08:18am,Bourbon Control,Pool,10,0.8,1.4,0.2,Fine Woody Debris,Yes,No,0,0,Sand,Rainbow Trout/Steelhead,51-60mm,1,overhead
2019-07-25,05:13:42am,Bourbon Control,Pool,10,1.1,1.3,0.25,"Branches, Small Woody Debris",Yes,Yes,1.2,0.1,Sand,Rainbow Trout/Steelhead,51-60mm,1,overhead
2019-07-25,05:40:07am,Bourbon Control,Riffle,10,0.6,2,0,Fine Woody Debris,Yes,No,0,0,Mud/Organic,Rainbow Trout/Steelhead,<41mm,3,overhead
2019-07-25,05:48:27am,Bourbon Control,Riffle,10,0.9,2.8,0,Fine Woody Debris,Yes,No,0,0,Sand,Rainbow Trout/Steelhead,<41mm,2,overhead
2019-07-25,05:53:19am,Bourbon Control,Riffle,10,0.5,2.6,0,Aquatic Veg,Yes,Yes,0.8,0.8,Gravel,Rainbow Trout/Steelhead,41-50mm,1,overhead
2019-07-25,05:56:54am,Bourbon Control,Riffle,10,0.5,0.7,0,Aquatic Veg,Yes,Yes,2.3,0.2,Mud/Organic,Rainbow Trout/Steelhead,<41mm,2,overhead
2019-07-25,06:00:50am,Bourbon Control,Riffle,10,0.9,3,0.3,"Branches, Small Woody Debris",No,Yes,1.7,0.5,Sand,Rainbow Trout/Steelhead,41-50mm,14,no overhead
2019-07-25,06:25:47am,Bourbon Control,Flatwater,10,1,4.2,2.2,"Branches, Small Woody Debris",No,Yes,3,0,Mud/Organic,Rainbow Trout/Steelhead,41-50mm,9,no overhead
2019-07-25,06:30:56am,Bourbon Control,Flatwater,10,1.1,1.2,0,Aquatic Veg,Yes,Yes,1.5,0.1,Mud/Organic,Rainbow Trout/Steelhead,61-80mm,4,overhead
2019-07-25,06:34:52am,Bourbon Control,Flatwater,10,1.1,1.2,0,Aquatic Veg,Yes,Yes,1.5,0.1,Mud/Organic,Rainbow Trout/Steelhead,51-60mm,10,overhead
2019-07-25,06:36:42am,Bourbon Control,Flatwater,10,1.1,1.2,0,Aquatic Veg,yes,Yes,1.5,0.1,Mud/Organic,Late Fall Run Run Chinook,41-50mm,5,overhead
2019-07-25,06:38:07am,Bourbon Control,Flatwater,10,1.2,0.8,0.5,"Branches, Small Woody Debris",Yes,Yes,3,0.2,Mud/Organic,Rainbow Trout/Steelhead,51-60mm,2,overhead
2019-07-25,06:41:48am,Bourbon Control,Flatwater,10,0.75,2.7,2,"Branches, Small Woody Debris",No,Yes,1.6,0.1,Sand,Rainbow Trout/Steelhead,<41mm,1,no overhead
2019-07-25,07:17:25am,Bourbon Control,Riffle,10,1.4,1.2,0.8,Undercut Bank,Yes,Yes,0.3,0.5,Gravel,Rainbow Trout/Steelhead,41-50mm,7,overhead
2019-07-25,07:21:35am,Bourbon Control,Riffle,10,1.45,2.6,0.8,Aquatic Veg,Yes,Yes,0,0.3,Cobble,Rainbow Trout/Steelhead,41-50mm,10,overhead
2019-07-25,07:25:33am,Bourbon Control,Riffle,10,1.2,3.3,0.3,"Branches, Small Woody Debris",Yes,Yes,0,0.2,Cobble,Rainbow Trout/Steelhead,61-80mm,8,overhead
2019-07-25,07:29:05am,Bourbon Control,Riffle,10,1,4.6,0,"Branches, Small Woody Debris",Yes,Yes,1.2,0.1,Sand,Rainbow Trout/Steelhead,51-60mm,8,overhead
2019-07-25,07:34:57am,Bourbon Control,Riffle,10,0.55,1.5,0,Aquatic Veg,Yes,No,0,0,Mud/Organic,Rainbow Trout/Steelhead,51-60mm,3,overhead
2019-07-25,07:37:36am,Bourbon Control,Riffle,10,0.55,1.5,0,Aquatic Veg,Yes,No,0,0,Mud/Organic,Rainbow Trout/Steelhead,41-50mm,5,overhead
2019-07-25,07:39:10am,Bourbon Control,Riffle,10,0.7,2.2,0,"Branches, Small Woody Debris",Yes,No,0,0,Mud/Organic,Rainbow Trout/Steelhead,41-50mm,2,overhead
2019-07-25,07:41:25am,Bourbon Control,Riffle,10,0.7,2.2,0,"Branches, Small Woody Debris",Yes,No,0,0,Mud/Organic,Rainbow Trout/Steelhead,<41mm,2,overhead
2019-07-25,07:42:58am,Bourbon Control,Riffle,10,0.7,6,0,"Branches, Small Woody Debris",No,No,0,0,Mud/Organic,Rainbow Trout/Steelhead,41-50mm,1,no overhead
2019-07-25,07:44:43am,Bourbon Control,Riffle,10,1.2,7.3,0,"Branches, Small Woody Debris",No,No,0,0,Mud/Organic,Rainbow Trout/Steelhead,<41mm,1,no overhead
2019-07-25,07:46:24am,Bourbon Control,Riffle,10,1.6,7.9,0,Fine Woody Debris,No,No,0,0,Mud/Organic,Rainbow Trout/Steelhead,51-60mm,1,no overhead
2019-07-25,07:48:22am,Bourbon Control,Riffle,10,0.9,3.8,1,Aquatic Veg,Yes,No,0,0,Mud/Organic,Fall Run Chinook,61-80mm,1,overhead
2019-07-25,07:51:01am,Bourbon Control,Riffle,10,0.9,3.8,1,Aquatic Veg,Yes,No,0,0,Mud/Organic,Rainbow Trout/Steelhead,51-60mm,5,overhead
2019-07-25,07:52:19am,Bourbon Control,Riffle,10,0.9,3.8,1,Aquatic Veg,Yes,No,0,0,Mud/Organic,Rainbow Trout/Steelhead,61-80mm,1,overhead
2020-01-02,03:34:09am,Bourbon Control,Riffle,10,0.4,0.9,0.3,Fine Woody Debris,Yes,Yes,0,0.06,Sand,Rainbow Trout/Steelhead,51-60mm,3,overhead
2020-01-02,03:42:10am,Bourbon Control,Riffle,10,0.3,0.5,0,Fine Woody Debris,yes,Yes,0,0,Sand,Rainbow Trout/Steelhead,51-60mm,1,overhead
2020-01-02,03:46:00am,Bourbon Control,Riffle,10,1,1.1,0,Fine Woody Debris,Yes,Yes,4,0.04,Sand,Winter Run Chinook,61-80mm,1,overhead
2020-01-02,03:54:11am,Bourbon Control,Riffle,10,1.1,2.8,1,"Branches, Small Woody Debris",Yes,Yes,0,0.2,Cobble,Fall Run Chinook,41-50mm,2,overhead
2020-01-02,03:59:04am,Bourbon Control,Riffle,10,1.1,2.8,1,"Branches, Small Woody Debris",Yes,Yes,0,0.2,Cobble,Winter Run Chinook,61-80mm,4,overhead
2020-01-02,04:25:12am,Bourbon Control,Riffle,10,3.95,9.7,0,Fine Woody Debris,Yes,Yes,0,0.5,Cobble,Winter Run Chinook,61-80mm,3,overhead
2020-01-02,04:30:16am,Bourbon Control,Riffle,10,3.95,9.7,0,Fine Woody Debris,Yes,Yes,0,0.5,Cobble,Winter Run Chinook,81-100mm,4,overhead
2020-01-02,04:31:54am,Bourbon Control,Riffle,10,3.95,9.7,0,Fine Woody Debris,Yes,Yes,0,0.5,Cobble,Rainbow Trout/Steelhead,81-100mm,1,overhead
2020-01-02,04:33:53am,Bourbon Control,Riffle,10,2.7,4,0,"Branches, Small Woody Debris",Yes,Yes,0,0.1,Cobble,Fall Run Chinook,<41mm,1,overhead
2020-01-02,04:36:38am,Bourbon Control,Riffle,10,0.6,5,0.5,Aquatic Veg,No,Yes,0.1,0,Gravel,Fall Run Chinook,<41mm,12,no overhead
2020-01-02,04:39:31am,Bourbon Control,Riffle,10,1,18.8,0.4,Fine Woody Debris,No,Yes,0.2,0.8,Cobble,Winter Run Chinook,81-100mm,1,no overhead
2020-01-02,04:47:00am,Bourbon Control,Riffle,10,0.4,6,2.4,Fine Woody Debris,No,Yes,0.6,0.1,Gravel,Fall Run Chinook,<41mm,8,no overhead
2020-01-02,04:56:38am,Bourbon Control,Pool,10,1.05,5.2,0.1,Aquatic Veg,No,Yes,0.3,0,Gravel,Fall Run Chinook,41-50mm,1,no overhead
